origin,destination,count
DUB,VRN,14
DUD,DCA,1
DUESS,MUC,6
DUI,FRA,1
DUI,ZYA,1
DUR,MPM,8
DUS,ARN,1380
DUS,ATL,5222
DUS,BEG,62
DUS,BLL,134
DUS,CHF,1
DUS,CTA,27
DUS,GOT,532
DUS,HAV,2
DUS,HEL,688
DUS,HER,6
DUS,JFK,3135
DUS,LHR,17491
DUS,MAA,1
DUS,MCO,3
DUS,MIL,7
DUS,MLA,5
DUS,NTE,264
DUS,SGF,1
DUS,TFS,40
DUS,TUN,8
DUS,TYS,1
DUS,XRY,10
DUS,YOW,1
DVO,SIN,85
DWC,DOH,864
DWC,LON,1
DXB,AUH,1
DXB,BKK,2315
DXB,COK,530
DXB,DMM,3420
DXB,DYU,69
DXB,EVN,359
DXB,FLL,354
DXB,KBP,35
DXB,MEL,4555
DXB,MXP,1574
DXB,NJF,21
DXB,PIE,1
DXB,PRG,668
DXB,SIN,7396
DXB,TSE,34
